iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BRA,South America,Brazil,2020-09-09,4197889,35816,28574.857,128539,1075,679.857,19749.25,168.499,134.432,604.72,5.057,3.198,0.94,,,,,,,,,,,,,60168,0.283,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-10,4238446,40557,28115.429,129522,983,701.143,19940.054,190.803,132.271,609.345,4.625,3.299,0.95,,,,,,,,,,,,,54398,0.256,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-11,4282164,43718,27194.714,130396,874,699.143,20145.728,205.674,127.939,613.457,4.112,3.289,0.95,,,,,,,,,,,,,48628,0.229,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-12,4315687,33523,27526.714,131210,814,715.286,20303.439,157.711,129.501,617.286,3.83,3.365,0.95,,,,,,,,,,5900000,27.757,,42857,0.202,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-13,4330455,14768,27562,131625,415,710.714,20372.916,69.477,129.667,619.239,1.952,3.344,0.95,,,,,,,,,,,,,47376,0.223,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-14,4345610,15155,28259.429,132006,381,720.857,20444.214,71.298,132.948,621.031,1.792,3.391,0.95,,,,,,,,,,,,,51896,0.244,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-15,4382263,36653,31455.714,133119,1113,807.857,20616.65,172.436,147.986,626.267,5.236,3.801,0.95,,,,,,,,,,,,,56415,0.265,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-16,4419083,36820,31599.143,134106,987,795.286,20789.872,173.222,148.66,630.911,4.643,3.741,0.96,,,,,,,,,,,,,60934,0.287,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-17,4455386,36303,30991.429,134935,829,773.286,20960.662,170.79,145.801,634.811,3.9,3.638,0.96,,,,,,,,,,,,,65453,0.308,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
BRA,South America,Brazil,2020-09-18,4495183,39797,30431.286,135793,858,771,21147.89,187.228,143.166,638.847,4.037,3.627,0.96,,,,,,,,,,,,,69972,0.329,,,tests performed,,,,,,,,,,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
